attack_type,detector_tier,trajectory_type,attack_onset,steady_pos_rmse,post_pos_rmse,post_pos_max,post_ang_rmse,ekf_res_norm_mean,u_v_rmse,u_w_rmse,detection_accuracy,mean_confidence,detection_latency_steps,detection_latency_sec,false_alarm_rate,recovery_rmse
A0,none,lissajous,36.0,0.05742756292207128,0.07262914211161148,0.07262914211161148,0.24162873345113045,0.0407037227018163,0.23337837502657716,0.34844916750527777,,,,,,
A0,nn,lissajous,36.0,0.0568487629284663,0.06988311570914574,0.06988311570914574,0.23072551363912774,0.03560000201971024,0.20840179437393053,0.3669286235521326,1.0,0.917645700000822,0.0,0.0,0.11853088480801335,0.03862786612883679
A0,oracle,lissajous,36.0,0.05742756292207128,0.07262914211161148,0.07262914211161148,0.24162873345113045,0.0407037227018163,0.23337837502657716,0.34844916750527777,1.0,1.0,0.0,0.0,0.0,0.03862786612883679
A1,none,lissajous,14.363502971184062,0.03973763349607691,0.08257032569656038,0.2278214160082539,0.24863113962181438,0.03176811714655671,0.24167810278387059,0.4645269158635605,,,,,,
A1,nn,lissajous,14.363502971184062,0.03973763349607691,0.06791516805876696,0.18233900526640373,0.21555131506398564,0.03085502802246479,0.23847942240005618,0.4240327658439541,0.5,0.9912257481788306,4.0,0.2,0.0,0.18947428025757904
A1,oracle,lissajous,14.363502971184062,0.03973763349607691,0.06393004953494111,0.09405097316498343,0.2052489734288481,0.028192421070631253,0.2271405168099158,0.36464738550958026,1.0,1.0,0.0,0.0,1.0,0.02999487956287612
A2,none,lissajous,28.767857660247905,0.05172170843403314,0.08186691070495214,0.1325003001674798,0.30143439404540784,0.09109254118377824,0.2514085853368436,0.6655608417082329,,,,,,
A2,nn,lissajous,28.767857660247905,0.05172170843403314,0.07340463700604498,0.11259346590884185,0.2792223249718734,0.07720252121906969,0.24995828699613196,0.6062551453246704,0.8870967741935484,0.9593668315771775,14.0,0.7000000000000001,0.0,0.09640160300975746
A2,oracle,lissajous,28.767857660247905,0.05172170843403314,0.07552866036309629,0.09364344353349204,0.2396746752681435,0.028595149529414877,0.2182908770629277,0.4486605089912854,1.0,1.0,0.0,0.0,1.0,0.02995464226412515
A3,none,lissajous,23.299848545285126,0.05685502420238321,0.05875035272738654,0.0947849223550439,0.18862435008242912,0.028543184079976,0.23367075204938526,0.35742264337164087,,,,,,
